Protein,Log2 Fold,p-value,Unique Pep,Sig1,Sig2,Clamped
sll0455,-0.01858358185,2.22E-01,5,FALSE,FALSE,0
slr1022,-0.01947214898,1.91E-01,15,FALSE,FALSE,0
slr0657,-0.02058251944,2.92E-01,15,FALSE,FALSE,0
slr0553,-0.02718859094,1.91E-01,2,FALSE,FALSE,0
slr0012,-0.02755324382,3.09E-01,9,FALSE,FALSE,0
sll0427,-0.03329075966,2.58E-01,9,FALSE,FALSE,0
sll0220,-0.03674801614,8.97E-02,13,FALSE,FALSE,0
sll0204,-0.03909038547,2.81E-01,1,FALSE,FALSE,0
sll0368,-0.04048265105,6.59E-02,10,FALSE,FALSE,0
sll1557,-0.04434274766,3.45E-01,2,FALSE,FALSE,0
slr0624,-0.04592546739,2.00E-01,2,FALSE,FALSE,0
sll0329,-0.05125132564,1.70E-03,20,FALSE,FALSE,0
sll0418,-0.06205126231,7.31E-02,2,FALSE,FALSE,0
slr0861,-0.06277152983,1.28E-03,7,FALSE,FALSE,0
sll1104,-0.06335660454,2.66E-01,2,FALSE,FALSE,0
slr2141,-0.06396345232,1.09E-01,3,FALSE,FALSE,0
slr1665,-0.07082352235,4.28E-04,8,FALSE,FALSE,0
sll1099,-0.08340848813,5.35E-05,48,FALSE,FALSE,0
sll0026,-0.08469088866,1.93E-01,1,FALSE,FALSE,0
sll0585,-0.08654464136,1.84E-02,3,FALSE,FALSE,0
sll1069,-0.09436614093,3.85E-05,12,FALSE,FALSE,0
slr0301,-0.09933113034,2.37E-02,8,FALSE,FALSE,0
slr0066,-0.09934699225,2.39E-01,1,FALSE,FALSE,0
slr1448,-0.1003778471,3.30E-02,3,FALSE,FALSE,0
sml0007,-0.1045718752,5.13E-02,1,FALSE,FALSE,0
slr1830,-0.1082724139,3.36E-02,3,FALSE,FALSE,0
sll1317,-0.109551503,7.15E-04,12,FALSE,FALSE,0
slr1703,-0.1096022721,1.52E-04,16,FALSE,FALSE,0
slr2023,-0.1110098751,3.53E-04,4,FALSE,FALSE,0
sll0900,-0.1111227135,1.23E-02,2,FALSE,FALSE,0
sll1370,-0.1133299553,2.93E-02,3,FALSE,FALSE,0
sll1440,-0.114908836,1.97E-02,1,FALSE,FALSE,0
slr0070,-0.119492714,1.15E-03,4,FALSE,FALSE,0
slr1779,-0.1200564963,1.95E-01,2,FALSE,FALSE,0
ssr2061,-0.1212037037,1.15E-02,3,FALSE,FALSE,0
sll0480,-0.1216583146,1.81E-07,25,TRUE,FALSE,-0.1216583146
sll0226,-0.1241683637,6.51E-04,3,FALSE,FALSE,0
sll0834,-0.1343919116,1.41E-01,1,FALSE,FALSE,0
sll1760,-0.1374927688,2.18E-02,2,FALSE,FALSE,0
slr0942,-0.142085419,2.24E-05,6,FALSE,FALSE,0
slr1808,-0.1466447754,1.17E-01,7,FALSE,FALSE,0
slr0116,-0.1516673328,4.50E-03,2,FALSE,FALSE,0
sll1444,-0.1541002617,3.81E-03,3,FALSE,FALSE,0
sll1196,-0.1684369223,2.39E-07,5,TRUE,FALSE,-0.1684369223
slr1881,-0.181570388,5.61E-02,3,FALSE,FALSE,0
sll1452,-0.181612092,7.57E-04,5,FALSE,FALSE,0
sll0643,-0.1819964697,9.44E-04,3,FALSE,FALSE,0
slr1238,-0.1847644161,3.65E-09,8,TRUE,FALSE,-0.1847644161
slr1418,-0.1861741088,1.60E-05,6,FALSE,FALSE,0
slr2067,-0.1895758946,3.01E-02,16,FALSE,FALSE,0
slr1719,-0.1929208721,6.67E-04,11,FALSE,FALSE,0
sll0019,-0.1956631619,3.22E-05,6,FALSE,FALSE,0
slr2130,-0.1989165626,2.82E-03,11,FALSE,FALSE,0
slr0402,-0.2059068589,8.97E-03,2,FALSE,FALSE,0
slr0435,-0.2107982821,5.90E-08,6,TRUE,FALSE,-0.2107982821
sll0207,-0.2119868679,3.74E-07,7,TRUE,FALSE,-0.2119868679
sll1747,-0.2158606335,1.39E-10,14,TRUE,FALSE,-0.2158606335
sll0290,-0.2186018155,5.29E-02,8,FALSE,FALSE,0
slr0400,-0.2197638173,3.19E-07,3,TRUE,FALSE,-0.2197638173
slr1623,-0.2217704754,1.97E-02,3,FALSE,FALSE,0
sll1398,-0.2225847112,9.50E-04,6,FALSE,FALSE,0
sll0936,-0.2290328123,8.85E-09,12,TRUE,FALSE,-0.2290328123
sll1959,-0.2303505768,8.05E-04,1,FALSE,FALSE,0
sll0493,-0.2316008214,5.70E-09,6,TRUE,FALSE,-0.2316008214
sll0036,-0.2347100352,1.00E-03,6,FALSE,FALSE,0
sll1676,-0.2349983373,2.51E-04,8,FALSE,FALSE,0
slr1550,-0.2523842912,6.81E-10,11,TRUE,FALSE,-0.2523842912
sll0895,-0.2654965729,8.54E-03,1,FALSE,FALSE,0
ssr0330,-0.2675409603,1.10E-03,3,FALSE,FALSE,0
slr1434,-0.2677088477,4.92E-05,2,FALSE,FALSE,0
slr1828,-0.2732784465,1.42E-04,2,FALSE,FALSE,0
sll0400,-0.2735165826,6.29E-03,2,FALSE,FALSE,0
sll1735,-0.2759505156,3.19E-12,4,TRUE,FALSE,-0.2759505156
slr0990,-0.2761592454,9.41E-03,1,FALSE,FALSE,0
sll1282,-0.2816724148,9.27E-13,5,TRUE,FALSE,-0.2816724148
slr0652,-0.2825140149,1.50E-06,7,TRUE,FALSE,-0.2825140149
sll1316,-0.2845402286,2.94E-06,11,TRUE,FALSE,-0.2845402286
slr1201,-0.2868890132,8.45E-06,1,FALSE,FALSE,0
sll1323,-0.288336849,6.33E-05,7,FALSE,FALSE,0
slr1559,-0.2923078064,1.53E-08,7,TRUE,FALSE,-0.2923078064
slr0381,-0.2984587597,2.22E-05,4,FALSE,FALSE,0
sll1324,-0.3009779772,2.17E-06,14,TRUE,FALSE,-0.3009779772
slr1655,-0.30297136,1.37E-03,3,FALSE,FALSE,0
sll1258,-0.3095641629,1.92E-11,5,TRUE,FALSE,-0.3095641629
slr1656,-0.3124724567,2.26E-03,3,FALSE,FALSE,0
sll0540,-0.3130206546,1.05E-04,3,FALSE,FALSE,0
slr0239,-0.3177891557,2.56E-02,1,FALSE,FALSE,0
slr0952,-0.3202778844,3.87E-12,4,TRUE,FALSE,-0.3202778844
sll0578,-0.3306627173,3.60E-06,4,TRUE,FALSE,-0.3306627173
slr0550,-0.3309739233,6.68E-11,6,TRUE,FALSE,-0.3309739233
slr0951,-0.3310760637,1.43E-06,1,FALSE,FALSE,0
slr0823,-0.3408139248,1.01E-08,7,TRUE,FALSE,-0.3408139248
sll1453,-0.3437650237,1.02E-03,4,FALSE,FALSE,0
sll0109,-0.3514321306,7.17E-05,2,FALSE,FALSE,0
slr0676,-0.3533261646,0.00E+00,5,TRUE,FALSE,-0.3533261646
slr1239,-0.3610256305,1.91E-13,7,TRUE,FALSE,-0.3610256305
sll1182,-0.3623022887,0.00E+00,5,TRUE,FALSE,-0.3623022887
sll0228,-0.3624052966,6.06E-08,3,TRUE,FALSE,-0.3624052966
slr0513,-0.369022444,0.00E+00,11,TRUE,FALSE,-0.369022444
ssl0020,-0.3699622289,3.81E-06,2,TRUE,FALSE,-0.3699622289
sll0741,-0.3716370545,1.68E-05,7,FALSE,FALSE,0
slr0001,-0.3820764333,1.11E-16,6,TRUE,FALSE,-0.3820764333
sll1017,-0.3861554257,3.73E-04,2,FALSE,FALSE,0
